Elevation_m,Storage_m3,Area_ha
145.355267328,19735709.4,0.2437309797
153.66824811120003,46329579.04998183,0.3729707106
159.7792890768,72911112.64810684,0.4653981201
164.9467131336,99504977.36416131,0.5405683122
169.5612037776,126086514.66273183,0.6050730405
173.8101163872,152680380.61226815,0.6622142523
177.7910640768,179261917.91083866,0.7138058130000001
181.57066606799998,205855782.62689313,0.7610889375
185.1874499952,232437319.92546365,0.8048361981000001
188.6743811976,259031185.87499997,0.8456760938999999
