Elevation_m,Storage_m3,Area_ha
592.836,0.0,0.0
652.8816,370044551.25,1.57833
670.2552000000001,715419465.75,2.46867
682.4472000000001,1060794380.2499999,3.2376
689.7624000000001,1319825566.125,3.80418
696.1632000000001,1578856752.0,4.33029
704.3928000000001,1973570939.9999998,5.05875
714.7560000000001,2466963675.0,5.78721
719.6328000000001,2837008226.25,6.27285
723.2904000000001,3083704593.75,6.5966095953
