Elevation_m,Storage_m3,Area_ha
179.5823593512,21585932.15625,0.3217530927
188.630495484,63734004.07666132,0.6134709702
194.3932692264,105869748.57958868,0.8249708325
198.9306853992,148017820.5,1.0016758029
202.78871974560002,190165892.4204113,1.15740153
206.20430641200002,232301636.92333868,1.2986268561
209.30687079360004,274449708.84375,1.4291264181000003
212.17255619760002,316597799.26638883,1.5511940556000001
214.85129496000002,358733506.7648611,1.666388673
217.37995934640003,400881597.18749994,1.7759203232999998
